username,content,date,printed
Andreas Geithe,„Wir sollten eine SA gründen und aufräumen.“,09.06.2020,FALSE
Andreas Geithe,‘We should form an SA and clean up.’,09.06.2020,FALSE
Dieter Görnert,"""Das Pack erschießen oder zurück nach Afrika prügeln.""",19.05.2016,FALSE
Dieter Görnert,‘Shoot the pack or beat them back to Africa.’,19.05.2016,FALSE
Holger Arppe,"""Brennende Flüchtlingsheime sind kein Akt der Aggression.""",August 2017,FALSE
Holger Arppe,‘Burning refugee centres is not an act of aggression.’,August 2017,FALSE
Sandro Hersel,"„Auf der Stelle erschießen, dann wird sich das ganz schnell legen.“",10.10.2016,FALSE
Sandro Hersel,"‘Shoot them on the spot, then it'll go away very quickly.’",Oktober 2016,False
Alice Weidel,„Der Verfassungsschutz ist selbst zum Verfassungsfeind geworden und er gehört in dieser Form abgeschafft.“ ,29.06.2024,FALSE
Alice Weidel,‘The Office for the Protection of the Constitution has itself become an enemy of the constitution and should be abolished in this form.’ ,29.06.2024,FALSE
Alice Weidel,„Die politische Korrektheit gehört auf den Müllhaufen der Geschichte.“,22.04.2017,FALSE
Alice Weidel,‘Political correctness belongs on the rubbish heap of history.’,22.04.2017,FALSE
Benjamin Nolte,„Deutschland den Deutschen.“ ,22.06.2017,FALSE
Benjamin Nolte,‘Germany to the Germans.’ ,22.06.2017,FALSE
Carsten Härle,„Das 'Deutsche Reich' [ist] 1945 nicht untergegangen“ ,01.11.2016,FALSE
Carsten Härle,“The 'German Reich' [did] not end in 1945”,01.11.2016,FALSE
Peter Gebhardt,„Wir werden längere Wände als 1989 in Rumänien brauchen - Freiwillige für die Pelotons dürften aber kein Problem sein ... “ ,17.04.2023,FALSE
Peter Gebhardt,‘We will need longer walls than in Romania in 1989 - but volunteers for the pelotons should not be a problem ... ’ ,17.04.2023,FALSE
Mirko Welsch,„Abschiebung der Antifa nach Buchenwald. Arbeit statt Linksterror.“ ,18.02.2020,FALSE
Mirko Welsch,‘Deportation of the Antifa to Buchenwald. Labour instead of left-wing terror.’ ,18.02.2020,FALSE
Kai Borrmann,"„Daß [der Neonazi-Terrorist Breivik] ein Mörder war, beweist ja nicht, dass er politisch falsch lag.“",15.08.2023,FALSE
Kai Borrmann,‘The fact that [the neo-Nazi terrorist Breivik] was a murderer does not prove that he was politically wrong.’,15.08.2023,FALSE
Jens Maier,"""Viele haben die NPD deshalb gewählt, weil dies die einzige Partei war, die immer entschlossen zu Deutschland gestanden hat.“",17.01.2017,FALSE
Jens Maier,‘Many people voted for the NPD because it was the only party that has always stood firmly by Germany.’,17.01.2017,FALSE
Beatrix von Storch,„Die Pläne für einen Massenaustausch der Bevölkerung sind längst geschrieben“,08.05.2016,FALSE
Beatrix von Storch,‘The plans for a mass exchange of the population have long been written’,08.05.2016,FALSE
Björn Höcke,"„Das große Problem ist, dass Hitler als absolut böse dargestellt wird. Aber selbstverständlich wissen wir, dass es in der Geschichte kein Schwarz und Weiß gibt.“",01.03.2017,FALSE
Björn Höcke,‘The big problem is that Hitler is portrayed as absolutely evil. But of course we know that there is no black and white in history.’,01.03.2017,FALSE
Kay-Uwe Ziegler,„Alles für Deutschland!“,09.11.2020,FALSE
Kay-Uwe Ziegler,‘Everything for Germany!’,09.11.2020,FALSE
Jörg Prophet,"„Dem Sozialisten ist es der Tag der Befreiung, dem Staatsbürger ist es zunächst der Tag der bedingungslosen Kapitulation.“",14.02.2021,FALSE
Jörg Prophet,"‘For the socialist it is the day of liberation, for the citizen it is first and foremost the day of unconditional surrender.’",14.02.2021,FALSE
Marcel Grauf,„Sieg Heil!“,09.05.2018,FALSE
Marcel Grauf,‘Sieg Heil!',09.05.2018,FALSE
Andreas Paul,"„Erinnert stark an 1934, als es hieß: ‘Kauft nicht beim Juden!‘ Nun sind die wahren Faschisten zurück und fordern: ‘Kauft nicht bei der AfD!""",02.10.2019,FALSE
Andreas Paul,"‘Very reminiscent of 1934, when the slogan was: ‘Don't buy from the Jews! Now the true fascists are back and demanding: ‘Don't buy from the AfD!‘",02.10.2019,FALSE
Heiko Heßenkemper,„Wir müssen die Printmedien und den öffentlich-rechtlichen Propagandaapparat angreifen und abschaffen.“,07.03.2024,FALSE
Heiko Heßenkemper,“We must attack and abolish the print media and the public service propaganda apparatus.”,07.03.2024,FALSE
Nicolaus Fest,"„Wir riefen Gastarbeiter, bekamen aber Gesindel.“",04.04.2017,FALSE
Nicolaus Fest,"‘We called guest workers, but got scum’.",04.04.2017,FALSE
Holger Arppe,"„Da muss man einfach ausrasten und erstmal das ganze rotgrüne Geschmeiß aufs Schafott schicken. Und dann das Fallbeil hoch und runter, dass die Schwarte kracht!”",11.08.2015,FALSE
Holger Arppe,“You just have to snap and send the whole red-green scum to the scaffold. And then the guillotine up and down until the rind cracks!”,11.08.2015,FALSE
Peter Boehringer,"„Die Merkelnutte lässt jeden rein, sie schafft das. Dumm nur, dass es UNSER Volkskörper ist, der hier gewaltsam penetriert wird.“",09.01.2016,FALSE
Peter Boehringer,"‘The Merkel whore lets everyone in, she can do it. It's just stupid that it's OUR national body that is being forcibly penetrated here.’",09.01.2016,FALSE
Enxhi Seli-Zacharias,"„Doch längst sind die Frauen in der Szene nicht mehr nur Gebärmaschinen für das Kalifat und den Dschihad, die zur schnellen Vergrößerung der sogenannten Umma verpflichtet sind.“ ",24.05.2023,FALSE
Enxhi Seli-Zacharias,"‘But women in the scene are no longer just birthing machines for the caliphate and jihad, committed to the rapid expansion of the so-called ummah.’ ",24.05.2023,FALSE
Nicolaus Fest,„Die EU MUSS WEG.. genau wie die BRD Betreibergesellschaft.“ ,20.05.2020,FALSE
Nicolaus Fest,‘The EU MUST GO... just like the FRG (Federal Republic of Germany) operating company.’ ,20.05.2020,FALSE
Gottfried Curio,"„Das geplante Dublin IV wäre allerdings das endgültige Aus für jede Integration. Es ist ein Aufbauprogramm für Clanbildung hierzulande, statt den Asylanten in sein Dorf zurück zu schicken, kommt dann das ganze Dorf nach Deutschland.""",02.10.2018,FALSE
Gottfried Curio,"‘However, the planned Dublin IV would be the final end for all integration. It is a programme for clan formation in this country; instead of sending the asylum seeker back to their village, the whole village will come to live in Germany.’",02.10.2018,FALSE
Julian Flak,"""Liebe Freunde, es ist völlig egal, ob man das ganz jetzt Abschiebeoffensive, Negativeinwanderung oder schlecht Re-migration. [...] Wichtig ist nur, wer in Deutschland nichts zu suchen hat, der soll Deutschland verlassen.""",04.08.2023,TRUE
Julian Flak,"‘Dear friends, it doesn't matter whether you call it a deportation offensive, negative immigration or bad re-migration. [...] The only important thing is that anyone who has no business in Germany should leave Germany.’",04.08.2023,TRUE
Lars Steinke,"„Gerade in Böhmen und durch Prag gefahren! [...] Eine tolle, deutsche Stadt.“ ",10.06.2016,FALSE
Lars Steinke,‘Just been to Bohemia and travelled through Prague! [...] A great German city.’ ,10.06.2016,FALSE
Sibylle Schmidt, „Wir werden euch kriegen ihr Säcke.“ ,23.04.2019,FALSE
Sibylle Schmidt," ‘We'll get you, you scumbags’.",23.04.2019,FALSE
Thomas Göbel,"„Unsere deutsche Volksgemeinschaft ist krank. Sie leidet an Altparteien, Diarrhö, Gutmenscheritis, links-grün-versifften Achtundsechzigern, und durch Merkel versiffte, aufgelöste Außenhaut.""",24.06.2017,FALSE
